ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,Other Race,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
20197,1840,1617,37,2,67,0,7,33,77,32513,141,13395,10260,Waterford,VA
20198,2492,2060,94,2,14,0,1,33,288,58416,152,31020,16935,The Plains,VA
20202,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20204,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20228,0,0,0,0,0,0,0,0,0,260,1,0,0,Washington,DC
20230,0,0,0,0,0,0,0,0,0,500,1,500,0,Washington,DC
20240,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20245,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20260,0,0,0,0,0,0,0,0,0,21593,55,5355,13825,Washington,DC
20307,353,215,68,4,9,1,1,10,45,0,0,0,0,Washington,DC
20317,903,725,117,10,8,0,0,15,28,0,0,0,0,Washington,DC
20319,84,69,8,0,1,2,0,0,4,500,2,0,500,Washington,DC
20373,131,73,31,1,7,0,0,2,17,0,0,0,0,Naval Anacost Annex,DC
20390,584,460,52,2,6,4,0,5,55,0,0,0,0,Washington,DC
20405,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20418,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20427,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20506,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20510,0,0,0,0,0,0,0,0,0,2695,11,1750,500,Washington,DC
20520,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20535,8,0,7,1,0,0,0,0,0,0,0,0,0,Washington,DC
20540,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20551,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20553,0,0,0,0,0,0,0,0,0,677,3,0,0,Washington,DC
20560,0,0,0,0,0,0,0,0,0,250,1,0,250,Washington,DC
20565,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20566,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20593,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
