"ZCTA","Total","White","Black","AmInd or Alaskan Native","Asian","PacIslander or HI Native","Other Race","Mixed","Hispanic","Total Contribs","Number Contribs","To Dems","To Repubs","Name","State"
"00601","18570","80","2","1","1","0","0","0","18486","0","0","0","0","Adjuntas","PR"
"00602","41520","216","13","0","15","0","4","7","41265","7450","19","1200","5000","Aguada","PR"
"00603","54689","628","101","2","48","2","9","22","53877","7960","32","4190","500","Aguadilla","PR"
"00606","6615","32","3","0","3","1","0","1","6575","490","7","-10","500","Maricao","PR"
"00610","29016","187","22","0","8","0","5","5","28789","1977","8","877","500","Anasco","PR"
"00612","67010","439","45","5","47","1","14","24","66435","10300","71","2794","450","Arecibo","PR"
"00616","11017","36","11","1","1","0","2","1","10965","0","0","0","0","Bajadero","PR"
"00617","24597","110","17","0","15","0","3","2","24450","250","1","0","0","Barceloneta","PR"
"00622","7853","129","8","0","1","2","0","5","7708","75","2","75","0","Boqueron","PR"
"00623","43061","326","28","1","16","2","8","15","42665","750","5","250","0","Cabo Rojo","PR"
"00624","26241","137","14","0","10","0","0","4","26076","10","1","10","0","Penuelas","PR"
"00627","35159","176","9","10","8","1","3","2","34950","1854","4","0","0","Camuy","PR"
"00631","1852","6","0","0","0","4","0","0","1842","0","0","0","0","Castaner","PR"
"00637","25287","107","8","2","4","0","2","4","25160","525","2","0","525","Sabana Grande","PR"
"00638","18941","45","5","1","0","0","6","8","18876","0","0","0","0","Ciales","PR"
"00641","31191","143","4","3","13","0","1","5","31022","1320","14","1300","20","Utuado","PR"
"00646","38199","614","47","5","48","0","16","16","37453","298666","102","46350","28800","Dorado","PR"
"00647","6172","42","6","0","1","0","0","0","6123","0","0","0","0","Ensenada","PR"
"00650","14998","72","7","0","6","0","0","1","14912","58","2","0","58","Florida","PR"
"00652","4715","47","1","0","0","0","0","1","4666","0","0","0","0","Garrochales","PR"
"00653","13307","57","11","2","2","1","3","1","13230","2089","12","2089","0","Guanica","PR"
"00656","21481","64","19","1","8","1","7","5","21376","0","0","0","0","Guayanilla","PR"
"00659","41953","269","33","3","28","0","10","6","41604","4544","7","154","0","Hatillo","PR"
"00660","17250","63","7","1","11","0","1","9","17158","2550","3","2050","0","Hormigueros","PR"
"00662","43282","336","33","1","33","1","14","8","42856","325","14","175","150","Isabela","PR"
"00664","16784","46","6","1","7","1","0","1","16722","20","1","0","0","Jayuya","PR"
"00667","25968","147","9","1","13","0","4","1","25793","3525","4","25","0","Lajas","PR"
"00669","29744","195","3","1","4","1","1","3","29536","657","5","657","0","Lares","PR"
"00670","9807","56","1","0","1","0","1","2","9746","0","0","0","0","Las Marias","PR"
"00674","44457","272","31","1","18","1","8","5","44121","3080","6","0","0","Manati","PR"
"00676","40316","187","19","2","12","0","1","5","40090","1000","2","500","0","Moca","PR"
"00677","15272","493","18","1","13","2","9","4","14732","6650","4","5650","1000","Rincon","PR"
"00678","27819","149","7","0","14","1","3","2","27643","90","2","0","0","Quebradillas","PR"
"00680","58140","399","78","14","29","3","26","12","57579","18433","76","13277","1006","Mayaguez","PR"
"00682","32615","229","41","1","92","1","13","14","32224","1300","3","1300","0","Mayaguez","PR"
"00683","33772","206","29","5","15","1","4","10","33502","1209","23","909","300","San German","PR"
"00685","42831","234","26","1","20","0","2","10","42538","240","9","140","0","San Sebastian","PR"
"00687","32610","142","20","4","13","0","0","6","32425","400","1","400","0","Morovis","PR"
"00688","13543","65","12","0","5","0","3","2","13456","0","0","0","0","Sabana Hoyos","PR"
"00690","6255","74","4","0","10","0","2","1","6164","0","0","0","0","San Antonio","PR"
"00692","37511","342","68","9","36","2","14","12","37028","4500","4","4500","0","Vega Alta","PR"
"00693","61038","341","41","0","25","2","23","16","60590","2525","5","2225","0","Vega Baja","PR"
"00694","328","1","0","0","0","0","0","0","327","7090","4","2000","0","Vega Baja","PR"
"00698","41782","160","10","3","21","0","7","10","41571","50","2","0","50","Yauco","PR"
"00703","28605","101","12","0","6","0","13","4","28469","2200","4","200","0","Aguas Buenas","PR"
"00704","8577","22","9","0","0","0","10","1","8535","0","0","0","0","Aguirre","PR"
"00705","25598","137","9","0","3","0","2","16","25431","1150","4","150","0","Aibonito","PR"
"00707","12225","77","7","1","3","0","2","3","12132","500","2","500","0","Maunabo","PR"
"00714","19566","128","32","0","4","1","8","12","19381","0","0","0","0","Arroyo","PR"
"00715","3656","5","1","0","0","0","1","0","3649","5200","2","2700","2500","Mercedita","PR"
"00716","33779","297","25","1","35","0","1","16","33404","3290","4","0","0","Ponce","PR"
"00717","18457","131","17","4","23","0","8","10","18264","3884","5","2800","0","Ponce","PR"
"00718","26606","143","34","1","15","0","4","11","26398","885","39","885","0","Naguabo","PR"
"00719","30990","111","14","2","9","0","3","5","30846","1480","33","1480","0","Naranjito","PR"
"00720","23129","81","3","1","5","0","3","2","23034","510","6","0","510","Orocovis","PR"
"00723","19277","73","32","4","2","0","10","5","19151","0","0","0","0","Patillas","PR"
"00725","89374","567","105","8","66","0","40","29","88559","40224","70","19564","6400","Caguas","PR"
"00727","58382","319","33","3","75","1","13","14","57924","7082","10","4750","0","Caguas","PR"
"00728","44908","258","27","1","22","1","6","38","44555","0","0","0","0","Ponce","PR"
"00729","53750","241","132","4","11","0","17","15","53330","9498","39","1533","5885","Canovanas","PR"
"00730","35742","211","22","5","10","1","8","11","35474","9950","6","6200","0","Ponce","PR"
"00731","15524","72","4","2","4","0","7","3","15432","0","0","0","0","Ponce","PR"
"00735","13730","127","23","0","7","3","3","7","13560","215","15","20","195","Ceiba","PR"
"00736","51532","257","22","0","33","2","6","9","51203","12928","56","10918","1000","Cayey","PR"
"00738","34922","415","101","6","44","0","21","19","34316","6650","10","1210","5400","Fajardo","PR"
"00739","39678","168","19","0","10","0","18","4","39459","0","0","0","0","Cidra","PR"
"00740","2071","30","10","0","0","0","0","5","2026","365","1","0","0","Puerto Real","PR"
"00741","4971","54","13","0","0","0","0","2","4902","0","0","0","0","Punta Santiago","PR"
"00745","55062","374","75","7","46","0","26","18","54516","1304","4","1304","0","Rio Grande","PR"
"00751","23129","135","22","4","6","0","2","8","22952","0","0","0","0","Salinas","PR"
"00754","40828","153","12","2","12","0","11","5","40633","660","5","410","0","San Lorenzo","PR"
"00757","23263","67","13","4","5","2","4","8","23160","115","6","115","0","Santa Isabel","PR"
"00765","9098","434","54","3","4","0","2","12","8589","1522","17","1022","0","Vieques","PR"
"00766","26488","75","3","0","7","0","4","4","26395","0","0","0","0","Villalba","PR"
"00767","38019","166","50","1","7","0","12","19","37764","0","0","0","0","Yabucoa","PR"
"00769","40248","130","21","1","12","0","4","5","40075","4365","7","2700","1000","Coamo","PR"
"00771","38394","173","20","2","18","0","14","13","38154","791","4","0","0","Las Piedras","PR"
"00772","23105","54","51","4","2","0","2","3","22989","0","0","0","0","Loiza","PR"
"00773","20068","287","70","8","22","0","13","17","19651","4912","45","4172","0","Luquillo","PR"
"00775","1786","137","4","1","3","0","0","2","1639","7846","40","7851","0","Culebra","PR"
"00777","40684","201","47","2","10","0","7","20","40397","0","0","0","0","Juncos","PR"
"00778","45429","254","45","0","25","2","3","26","45074","6400","3","2700","2700","Gurabo","PR"
"00780","13800","57","3","0","10","0","1","1","13728","4777","22","3227","500","Coto Laurel","PR"
"00782","19304","65","9","0","1","0","2","5","19222","100","1","100","0","Comerio","PR"
"00783","36557","159","25","0","5","0","10","8","36350","2500","2","0","0","Corozal","PR"
"00784","44637","251","74","7","19","1","18","27","44240","315","9","0","0","Guayama","PR"
"00786","357","4","0","0","0","0","0","0","353","0","0","0","0","La Plata","PR"
"00791","53417","381","53","5","56","1","7","38","52876","41056","41","24207","9950","Humacao","PR"
"00794","30585","176","13","2","4","0","9","7","30374","500","1","0","0","Barranquitas","PR"
"00795","48736","214","41","0","10","0","9","23","48439","100","2","100","0","Juana Diaz","PR"
"00901","7080","354","57","2","15","0","4","8","6640","118673","149","54321","36502","San Juan","PR"
"00906","4","0","0","0","2","0","0","0","2","0","0","0","0","San Juan","PR"
"00907","17458","716","136","3","138","2","9","28","16426","190578","350","100078","16190","San Juan","PR"
"00909","6230","46","26","0","6","0","1","13","6138","34963","35","20880","6035","San Juan","PR"
"00911","8623","463","46","0","54","0","2","18","8040","85405","148","34924","40926","San Juan","PR"
"00912","6801","69","46","2","14","0","1","4","6665","2865","7","1510","1350","San Juan","PR"
"00913","9312","174","22","0","0","0","4","3","9109","14304","53","10345","640","San Juan","PR"
"00915","32820","245","163","13","12","0","24","15","32348","1550","3","550","1000","San Juan","PR"
"00917","21053","151","47","6","37","0","11","10","20791","20195","41","7305","4390","San Juan","PR"
"00918","18056","232","24","1","50","1","4","4","17740","237941","356","78600","39750","San Juan","PR"
"00920","17893","138","60","2","21","0","8","12","17652","123846","48","10776","10570","San Juan","PR"
"00921","37763","283","88","3","48","1","16","17","37307","7150","14","2000","2800","San Juan","PR"
"00923","29086","223","78","7","33","0","12","16","28717","6900","42","6650","0","San Juan","PR"
"00924","56691","390","157","12","19","0","22","27","56064","11217","43","4943","2000","San Juan","PR"
"00925","8696","132","69","3","67","0","8","9","8408","18940","41","1848","4085","San Juan","PR"
"00926","108862","981","159","10","130","2","31","37","107512","126977","217","61117","9337","San Juan","PR"
"00927","14936","231","19","0","15","0","5","15","14651","106338","144","84439","3705","San Juan","PR"
"00934","288","70","23","1","1","0","11","4","178","0","0","0","0","Fort Buchanan","PR"
"00936","681","7","1","0","0","0","0","0","673","158679","167","47177","35311","San Juan","PR"
"00949","82278","601","119","18","105","0","49","29","81357","14279","12","10779","0","Toa Baja","PR"
"00950","9","0","1","0","0","0","0","0","8","4394","19","3394","0","Toa Baja","PR"
"00951","35","0","0","0","0","0","0","0","35","300","1","0","0","Toa Baja","PR"
"00952","10008","42","9","0","1","0","3","2","9951","0","2","0","0","Sabana Seca","PR"
"00953","73014","357","30","13","45","2","28","21","72518","3444","30","864","0","Toa Alta","PR"
"00956","79304","518","77","5","54","1","38","32","78579","1933","16","683","0","Bayamon","PR"
"00957","45680","259","36","3","68","0","12","10","45292","480","5","480","0","Bayamon","PR"
"00959","50560","485","76","1","80","4","12","31","49871","9032","15","872","6400","Bayamon","PR"
"00960","1779","9","3","0","0","0","1","0","1766","62755","27","53450","505","Bayamon","PR"
"00961","32429","203","56","4","55","1","9","11","32090","5444","28","4470","260","Bayamon","PR"
"00962","22491","123","39","0","17","1","4","6","22301","0","0","0","0","Catano","PR"
"00965","9134","35","34","0","1","0","4","4","9056","0","0","0","0","Guaynabo","PR"
"00966","16676","288","24","3","23","6","1","12","16319","97974","122","69768","11320","Guaynabo","PR"
"00968","3478","65","3","0","20","0","2","2","3386","65464","77","41349","4345","Guaynabo","PR"
"00969","42219","700","56","6","85","1","10","21","41340","77943","189","21308","22817","Guaynabo","PR"
"00971","30986","173","17","1","10","0","6","12","30767","6826","6","6000","250","Guaynabo","PR"
"00976","65136","469","122","3","44","2","28","26","64442","13556","95","6197","1000","Trujillo Alto","PR"
"00979","17030","635","60","3","102","0","8","15","16207","22769","122","12196","6756","Carolina","PR"
"00982","16428","102","29","4","27","1","4","10","16251","0","0","0","0","Carolina","PR"
"00983","39234","318","102","2","38","4","11","45","38714","34672","28","7782","5100","Carolina","PR"
"00985","36553","193","67","12","41","0","12","30","36198","2525","6","1525","0","Carolina","PR"
"00987","63661","360","114","7","99","1","13","23","63044","2340","11","600","0","Carolina","PR"
"01001","16769","15366","278","17","352","0","25","171","560","13197","74","3758","2755","Agawam","MA"
"01002","29049","21439","1296","38","2948","10","101","934","2283","219960","2699","201496","4347","Amherst","MA"
"01003","10372","7739","548","11","1187","1","47","310","529","424","3","424","0","Amherst","MA"
"01005","5079","4832","48","10","26","0","7","67","89","7183","212","6036","811","Barre","MA"
"01007","14649","13504","190","18","304","6","29","213","385","29496","483","25860","520","Belchertown","MA"
"01008","1263","1229","4","1","4","0","0","8","17","1301","36","889","100","Blandford","MA"
"01009","741","708","4","1","3","0","4","6","15","1143","13","85","0","Bondsville","MA"
"01010","3609","3423","27","10","17","0","1","52","79","1695","30","590","605","Brimfield","MA"
"01011","1370","1338","0","0","11","0","0","8","13","1343","15","1330","0","Chester","MA"
"01012","661","638","1","1","5","0","0","6","10","3482","57","3137","345","Chesterfield","MA"
"01013","23188","16827","597","35","237","5","59","317","5111","5012","78","2381","1880","Chicopee","MA"
"01020","29668","25315","628","47","453","14","33","360","2818","10541","180","6568","840","Chicopee","MA"
"01022","2451","1805","300","5","32","3","3","36","267","290","9","165","0","Chicopee","MA"
"01026","946","915","3","0","2","0","3","9","14","2073","56","2077","0","Cummington","MA"
"01027","17660","16235","162","32","386","3","15","207","620","73980","696","65857","5455","Easthampton","MA"
"01028","15720","14612","212","9","376","0","16","138","357","24691","256","9718","3040","East Longmeadow","MA"
"01029","789","766","2","1","5","0","0","9","6","52","2","52","0","East Otis","MA"
"01030","11669","10921","105","12","144","0","0","107","380","8033","137","5074","2707","Feeding Hills","MA"
"01031","1308","1249","11","7","1","2","0","10","28","922","34","127","795","Gilbertville","MA"
"01032","570","553","2","2","2","0","0","8","3","1971","18","1971","0","Goshen","MA"
"01033","6227","5928","23","13","68","1","4","60","130","4103","64","2873","710","Granby","MA"
"01034","2021","1937","10","10","6","0","0","23","35","2175","33","1655","100","Granville","MA"
"01035","5250","4695","96","8","210","1","5","72","163","21121","210","15753","5147","Hadley","MA"
"01036","5109","4878","25","3","70","1","7","50","75","14933","79","6318","1168","Hampden","MA"
"01037","838","803","8","1","2","0","0","10","14","1451","41","1451","0","Hardwick","MA"
"01038","2545","2462","10","3","14","0","4","11","41","4211","176","3403","775","Hatfield","MA"
"01039","1336","1284","5","0","14","0","0","10","23","15863","167","13695","0","Haydenville","MA"
"01040","39880","18651","961","43","402","7","61","442","19313","50999","528","34075","12792","Holyoke","MA"
"01050","2530","2428","5","5","4","2","0","35","51","3171","94","2755","0","Huntington","MA"
"01053","1685","1530","46","3","21","1","3","26","55","13874","322","13314","250","Leeds","MA"
"01054","1851","1690","22","3","29","0","5","63","39","28865","430","26672","0","Leverett","MA"
"01056","21103","18963","485","14","170","8","45","235","1183","10412","179","6625","2495","Ludlow","MA"
"01057","8534","8152","62","18","52","0","7","92","151","7607","148","4386","1402","Monson","MA"
"01060","15284","12571","435","26","769","2","61","340","1080","158471","1946","142097","800","Northampton","MA"
"01062","11150","9646","196","29","287","4","17","207","764","129466","774","114182","5050","Florence","MA"
"01063","430","283","23","1","71","0","3","20","29","952","8","950","0","Northampton","MA"
"01066","64","64","0","0","0","0","0","0","0","1085","29","600","0","North Hatfield","MA"
"01068","1902","1819","7","0","8","1","4","17","46","816","17","476","350","Oakham","MA"
"01069","8469","7989","92","12","78","0","0","101","197","15294","101","3239","2445","Palmer","MA"
"01070","629","598","14","1","4","0","0","3","9","5672","148","5631","0","Plainfield","MA"
"01071","1596","1534","12","2","5","0","1","8","34","545","33","503","0","Russell","MA"
"01072","1478","1331","30","7","16","0","3","50","41","20301","282","19079","0","Shutesbury","MA"
"01073","5792","5593","20","5","32","0","3","54","85","14540","205","12230","564","Southampton","MA"
"01074","319","300","0","2","2","0","0","1","14","0","0","0","0","South Barre","MA"
"01075","17527","15321","368","20","701","9","33","322","753","39298","584","26594","8222","South Hadley","MA"
"01077","9502","9028","79","23","77","3","1","93","198","9917","167","3237","3956","Southwick","MA"
"01079","692","651","3","4","1","0","0","16","17","0","0","0","0","Thorndike","MA"
"01080","2334","2189","24","3","25","0","2","27","64","868","29","493","375","Three Rivers","MA"
"01081","1698","1623","17","4","3","0","0","22","29","2537","67","2537","0","Wales","MA"
"01082","10322","9534","102","25","71","0","7","193","390","1939","70","1081","819","Ware","MA"
"01083","2888","2750","21","1","7","1","3","31","74","1504","10","97","1400","Warren","MA"
"01084","176","168","0","0","0","1","0","1","6","280","8","280","0","West Chesterfield","MA"
"01085","41117","36386","528","61","523","8","11","525","3075","43284","354","8882","23393","Westfield","MA"
"01086","687","622","15","1","6","0","0","12","31","8775","14","0","650","Westfield","MA"
"01088","670","642","12","0","2","0","0","8","6","1171","24","1171","0","West Hatfield","MA"
"01089","28391","23306","841","34","1245","14","34","446","2471","39832","433","16637","7086","West Springfield","MA"
"01092","1394","1322","4","6","9","1","0","19","33","950","5","0","0","West Warren","MA"
"01093","325","318","3","0","0","0","0","2","2","6025","56","5973","0","Whately","MA"
"01094","351","339","1","0","0","0","0","3","8","0","0","0","0","Wheelwright","MA"
"01095","14319","13205","279","4","285","1","16","136","393","52748","394","33960","4847","Wilbraham","MA"
"01096","2217","2136","4","1","7","0","8","21","40","18937","157","18119","465","Williamsburg","MA"
"01097","111","105","0","0","0","0","0","0","6","404","7","354","50","Woronoco","MA"
"01098","1101","1060","1","0","10","0","0","18","12","8863","80","5858","405","Worthington","MA"
"01103","2479","640","365","14","61","0","3","49","1347","17854","24","12800","3000","Springfield","MA"
"01104","22865","8345","2558","38","333","5","44","410","11132","18013","71","5013","1150","Springfield","MA"
"01105","12350","1897","2371","31","116","5","19","185","7726","4853","55","3353","0","Springfield","MA"
"01106","16021","14530","163","4","757","3","12","175","377","119459","523","70664","13952","Longmeadow","MA"
"01107","11611","1511","778","13","48","0","21","116","9124","9574","20","1250","0","Springfield","MA"
"01108","26688","9559","4447","67","1582","9","55","560","10409","23779","245","18709","2345","Springfield","MA"
"01109","30250","6514","12196","84","313","10","35","834","10264","23906","53","6937","14795","Springfield","MA"
"01118","14071","9456","1765","10","520","0","19","297","2004","7732","193","5235","150","Springfield","MA"
"01119","14152","7653","2775","37","223","6","28","323","3107","1497","25","1228","0","Springfield","MA"
"01128","2631","2030","246","4","81","4","4","48","214","625","10","625","0","Springfield","MA"
"01129","7019","4345","1100","14","189","3","11","161","1196","2414","51","1487","572","Springfield","MA"
"01151","8698","4081","1325","17","135","5","9","205","2921","137","4","87","50","Indian Orchard","MA"
"01199","0","0","0","0","0","0","0","0","0","12788","27","0","0","Springfield","MA"
"01201","46504","40123","2221","81","561","4","115","1139","2260","56937","865","38012","5227","Pittsfield","MA"
"01220","8603","8281","51","8","40","2","5","115","101","4905","95","1893","503","Adams","MA"
"01222","829","774","13","0","0","0","0","7","35","1170","29","1165","0","Ashley Falls","MA"
"01223","2314","2223","11","4","8","0","4","21","43","13731","195","13135","0","Becket","MA"
"01224","182","170","1","0","8","0","0","3","0","198","3","199","0","Berkshire","MA"
"01225","3117","3024","14","5","12","0","1","29","32","1848","27","238","0","Cheshire","MA"
"01226","6945","6656","48","3","54","1","4","70","109","6868","89","6268","0","Dalton","MA"
"01229","95","93","1","0","0","0","0","1","0","266","5","266","0","Glendale","MA"
"01230","8430","7519","191","15","126","2","23","139","415","63529","901","51451","5420","Great Barrington","MA"
"01235","2766","2693","17","4","9","0","0","25","18","5541","76","4235","301","Hinsdale","MA"
"01236","1509","1401","15","0","12","0","1","29","51","18046","152","17983","0","Housatonic","MA"
"01237","2496","2384","38","1","11","1","1","19","41","10764","65","4107","4250","Lanesboro","MA"
"01238","6047","5561","58","10","100","0","23","38","257","6325","148","4555","0","Lee","MA"
"01240","4534","4218","58","4","64","2","16","62","110","49816","338","40105","5250","Lenox","MA"
"01242","476","446","0","0","8","0","1","7","14","3105","7","2700","30","Lenox Dale","MA"
"01243","334","331","0","0","1","0","0","1","1","5778","59","5528","250","Middlefield","MA"
"01244","151","150","0","0","0","0","0","1","0","553","14","553","0","Mill River","MA"
"01245","985","960","14","0","1","0","0","3","7","6567","46","3242","3225","Monterey","MA"
"01247","16087","14819","287","41","105","8","13","317","497","4841","145","3679","605","North Adams","MA"
"01253","731","703","0","3","4","0","1","9","11","208","9","0","0","Otis","MA"
"01254","972","940","3","1","6","0","1","4","17","13454","84","12899","35","Richmond","MA"
"01255","915","875","8","0","7","2","2","11","10","2496","8","2496","0","Sandisfield","MA"
"01256","692","644","13","4","1","0","0","21","9","1121","39","1121","0","Savoy","MA"
"01257","2121","1993","19","4","11","0","2","23","69","8900","119","8779","0","Sheffield","MA"
"01258","374","361","4","0","2","0","0","3","4","2647","28","2582","50","South Egremont","MA"
"01259","635","612","0","0","7","0","0","4","12","1998","22","915","1075","Southfield","MA"
"01260","240","231","6","0","1","0","0","1","1","3213","4","3213","0","South Lee","MA"
"01262","1238","1150","10","1","16","0","4","13","44","13591","165","9243","3435","Stockbridge","MA"
"01264","137","133","0","0","1","0","0","0","3","5388","26","4678","700","Tyringham","MA"
"01266","1463","1395","12","0","18","0","5","6","27","50262","211","47961","1896","West Stockbridge","MA"
"01267","7989","6814","213","6","399","1","16","217","323","53451","575","55638","-5235","Williamstown","MA"
"01270","778","741","6","1","5","0","1","20","4","2714","65","2459","0","Windsor","MA"
"01301","17700","15909","262","52","244","2","32","345","854","45820","945","36591","2780","Greenfield","MA"
"01330","1506","1428","4","7","8","0","0","31","28","24566","588","23545","409","Ashfield","MA"
"01331","13263","12394","115","17","92","0","15","179","451","6854","140","3759","2075","Athol","MA"
"01337","2596","2529","4","3","10","0","0","26","24","5812","85","5150","330","Bernardston","MA"
"01338","187","181","0","0","0","0","0","3","3","791","18","791","0","Buckland","MA"
"01339","1438","1379","3","6","13","0","1","25","11","4102","95","3661","300","Charlemont","MA"
"01340","1701","1629","7","1","13","0","5","33","13","3815","95","3119","445","Colrain","MA"
"01341","1833","1745","3","7","11","2","1","36","28","9896","169","9082","250","Conway","MA"
"01342","1492","1374","18","0","23","1","0","32","44","9602","131","6382","3200","Deerfield","MA"
"01343","75","73","0","0","0","0","0","2","0","0","0","0","0","Drury","MA"
"01344","1498","1435","5","1","4","0","1","22","30","4369","71","4369","0","Erving","MA"
"01346","533","510","3","1","0","0","0","10","9","795","33","786","0","Heath","MA"
"01347","166","153","1","1","2","0","0","8","1","519","10","519","0","Lake Pleasant","MA"
"01349","1091","1026","4","5","10","0","4","14","28","1285","46","1261","0","Millers Falls","MA"
"01350","121","115","0","0","3","0","0","0","3","0","0","0","0","Monroe Bridge","MA"
"01351","2270","2118","12","3","24","0","6","45","62","17514","338","17003","0","Montague","MA"
"01354","1500","1439","13","3","19","0","0","14","12","4143","104","4095","0","Gill","MA"
"01355","878","846","1","2","8","0","2","10","9","979","16","979","0","New Salem","MA"
"01360","3032","2915","13","5","8","0","1","34","56","14206","206","11353","1000","Northfield","MA"
"01364","7969","7425","75","29","87","1","14","115","223","8072","177","5403","2222","Orange","MA"
"01366","1277","1245","2","1","5","0","0","9","15","9783","162","9765","22","Petersham","MA"
"01367","522","507","4","0","0","0","0","5","6","875","7","875","0","Rowe","MA"
"01368","1261","1206","3","1","9","0","0","9","33","490","25","450","35","Royalston","MA"
"01370","4084","3909","17","9","39","0","2","68","40","15915","331","14813","450","Shelburne Falls","MA"
"01373","4600","4329","25","1","79","1","3","53","109","10893","177","8153","0","South Deerfield","MA"
"01375","3684","3118","93","12","190","1","11","78","181","8582","127","4399","670","Sunderland","MA"
"01376","5247","4648","65","10","31","1","7","133","352","5089","131","4299","550","Turners Falls","MA"
"01378","774","748","0","4","7","0","0","7","8","1661","48","1611","0","Warwick","MA"
"01379","813","773","9","3","6","0","1","4","17","7217","95","7189","0","Wendell","MA"
"01420","40337","27518","1614","70","1451","7","89","861","8727","21250","263","13747","4233","Fitchburg","MA"
"01430","6089","5722","53","6","71","2","2","79","154","8119","128","6786","275","Ashburnham","MA"
"01431","3074","2954","9","2","10","1","2","39","57","11682","74","1605","10038","Ashby","MA"
"01432","7089","5847","319","15","260","11","41","203","393","13420","136","3950","5926","Ayer","MA"
"01434","1795","1205","345","0","48","0","0","3","194","395","13","395","0","Devens","MA"
"01436","3336","3181","25","1","19","0","3","35","72","1102","24","1092","0","Baldwinville","MA"
"01438","559","532","3","0","0","0","0","0","24","0","0","0","0","East Templeton","MA"
"01440","20347","17710","502","44","291","4","23","341","1432","20112","250","10890","5533","Gardner","MA"
"01450","10646","9964","45","7","293","1","8","135","193","36873","443","23690","9355","Groton","MA"
"01451","4747","4372","20","0","164","3","2","95","91","81168","500","55305","12023","Harvard","MA"
"01452","4382","4225","21","1","21","0","7","44","63","5512","113","2434","2732","Hubbardston","MA"
"01453","40883","30867","1828","48","1107","16","363","754","5900","47721","368","17673","20683","Leominster","MA"
"01460","8924","8239","46","6","350","0","12","150","121","109961","277","20797","80535","Littleton","MA"
"01462","10086","9451","79","16","153","0","15","132","240","7003","134","4451","574","Lunenburg","MA"
"01463","11497","10946","50","14","133","0","20","140","194","54494","189","4854","42953","Pepperell","MA"
"01464","7211","5739","574","12","200","5","11","109","561","6406","35","1543","250","Shirley","MA"
"01467","316","289","0","1","11","0","0","8","7","3534","11","3351","183","Still River","MA"
"01468","4021","3849","22","6","23","0","1","64","56","48812","73","2814","0","Templeton","MA"
"01469","6801","6475","39","14","64","0","8","75","126","7115","141","4213","2550","Townsend","MA"
"01473","7277","6868","62","11","73","0","7","63","193","9885","133","2043","7740","Westminster","MA"
"01474","2125","2031","15","3","10","0","0","29","37","417","8","407","0","West Townsend","MA"
"01475","10270","9446","133","13","189","0","7","131","351","2595","39","2181","150","Winchendon","MA"
"01501","16075","14976","152","21","298","3","19","181","425","9445","77","3546","4270","Auburn","MA"
"01503","2866","2715","18","7","40","0","6","36","44","10276","102","4999","3388","Berlin","MA"
"01504","9026","8555","77","21","71","3","5","109","185","2870","48","801","1731","Blackstone","MA"
"01505","4355","4021","29","9","159","0","10","63","64","18382","119","7538","7722","Boylston","MA"
"01506","3390","3265","10","3","7","0","0","61","44","1623","37","889","650","Brookfield","MA"
"01507","12981","12233","75","20","114","8","11","146","374","8821","174","8298","110","Charlton","MA"
"01510","13606","10884","341","25","180","2","129","201","1844","13208","178","10777","2060","Clinton","MA"
"01515","2183","2079","11","5","6","0","1","30","51","880","5","230","0","East Brookfield","MA"
"01516","8500","8103","35","14","75","3","9","122","139","4961","121","3178","1362","Douglas","MA"
"01518","2974","2791","19","14","41","0","5","39","65","32787","78","20021","11800","Fiskdale","MA"
"01519","6595","6079","52","1","253","0","14","70","126","18200","240","10270","875","Grafton","MA"
"01520","13997","12931","150","9","434","2","15","147","309","26106","334","17497","3900","Holden","MA"
"01521","2481","2358","14","11","11","0","2","28","57","899","43","626","273","Holland","MA"
"01522","3310","3116","13","0","79","0","9","29","64","5382","71","1748","3345","Jefferson","MA"
"01523","7582","6261","469","3","133","0","26","84","606","11386","133","6200","1180","Lancaster","MA"
"01524","6696","6149","87","19","127","0","13","92","209","2990","66","2695","35","Leicester","MA"
"01525","290","282","0","0","2","0","0","0","6","150","2","0","0","Linwood","MA"
"01527","13246","12294","165","20","248","8","27","178","306","7061","121","5367","1090","Millbury","MA"
"01529","3190","3073","13","7","29","0","0","27","41","323","15","323","0","Millville","MA"
"01531","999","968","3","4","6","0","0","10","8","11237","81","8497","0","New Braintree","MA"
"01532","14155","12160","127","10","1153","2","47","275","381","47838","293","26447","14971","Northborough","MA"
"01534","5631","5278","26","11","60","0","10","75","171","14477","71","2389","10193","Northbridge","MA"
"01535","4680","4482","16","14","13","3","1","62","89","4889","173","4680","200","North Brookfield","MA"
"01536","6888","6039","182","9","371","0","13","104","170","13437","67","2774","8511","North Grafton","MA"
"01537","2248","2130","14","1","21","1","2","28","51","3689","42","3689","0","North Oxford","MA"
"01540","11291","10506","112","13","120","1","8","120","411","9652","36","2867","6140","Oxford","MA"
"01541","3413","3277","14","1","40","0","0","32","49","17941","89","7944","9400","Princeton","MA"
"01542","2202","2035","23","12","22","0","10","15","85","19007","136","2573","15210","Rochdale","MA"
"01543","7973","7510","91","6","126","1","14","79","146","7146","240","5247","983","Rutland","MA"
"01545","35299","27407","603","26","5433","5","333","579","913","112864","764","51586","18252","Shrewsbury","MA"
"01550","16719","11465","236","58","296","3","18","191","4452","30110","94","3715","24796","Southbridge","MA"
"01560","4527","3447","53","6","755","2","12","98","154","2389","34","1699","175","South Grafton","MA"
