"ZCTA","Total","White","Black","AmInd or Alaskan Native","Asian","PacIslander or HI Native","Other Race","Mixed","Hispanic","Total Contribs","Number Contribs","To Dems","To Repubs","Name","State"
"25132","276","273","2","0","0","0","0","1","0","0","0","0","0","Mammoth","WV"
"25133","922","905","1","3","0","0","0","12","1","760","26","760","0","Maysel","WV"
"25134","423","415","3","0","0","0","0","2","3","500","1","500","0","Miami","WV"
"25136","1798","1371","336","1","8","2","0","51","29","601","12","147","454","Montgomery","WV"
"25139","440","417","9","0","6","0","0","7","1","0","0","0","0","Mount Carbon","WV"
"25140","1012","993","1","3","0","1","2","8","4","225","3","0","0","Naoma","WV"
"25141","195","192","0","0","0","0","0","0","3","0","0","0","0","Nebo","WV"
"25142","416","414","0","0","0","0","0","1","1","0","0","0","0","Nellis","WV"
"25143","8579","8069","184","34","32","0","7","123","130","18585","101","6613","3300","Nitro","WV"
"25148","332","326","4","0","0","0","0","2","0","0","0","0","0","Orgas","WV"
"25149","242","240","1","0","0","0","0","1","0","60","3","0","0","Ottawa","WV"
"25152","368","325","28","1","0","0","0","6","8","0","0","0","0","Page","WV"
"25154","868","858","3","0","0","0","0","3","4","922","4","0","0","Peytona","WV"
"25156","105","78","17","0","0","0","0","10","0","1744","13","124","1620","Pinch","WV"
"25159","5163","5019","21","19","8","0","0","68","28","1902","31","957","635","Poca","WV"
"25160","303","298","1","0","0","0","2","2","0","0","0","0","0","Pond Gap","WV"
"25161","369","346","19","1","0","0","0","3","0","0","0","0","0","Powellton","WV"
"25162","571","544","15","1","1","0","0","3","7","370","10","0","370","Pratt","WV"
"25164","1257","1246","2","4","1","0","0","1","3","1375","6","375","0","Procious","WV"
"25165","612","608","0","2","0","0","0","2","0","300","1","0","300","Racine","WV"
"25168","2503","2464","4","4","12","0","0","14","5","2480","10","2090","0","Red House","WV"
"25169","516","508","1","0","0","0","0","3","4","0","0","0","0","Ridgeview","WV"
"25173","452","355","92","0","0","0","0","4","1","0","0","0","0","Robson","WV"
"25174","420","408","0","0","0","0","0","10","2","0","0","0","0","Rock Creek","WV"
"25177","24084","22494","793","52","94","0","19","453","179","35003","180","22417","4759","Saint Albans","WV"
"25180","83","83","0","0","0","0","0","0","0","0","0","0","0","Saxon","WV"
"25181","1853","1825","3","3","0","0","0","10","12","365","4","0","200","Seth","WV"
"25183","73","69","1","0","0","0","0","0","3","565","7","565","0","Sharples","WV"
"25185","1042","883","140","2","1","0","5","5","6","0","0","0","0","Mount Olive","WV"
"25186","881","777","80","5","0","0","0","13","6","0","0","0","0","Smithers","WV"
"25187","719","707","1","0","0","0","2","3","6","432","9","432","0","Southside","WV"
"25193","477","468","2","0","0","0","0","6","1","0","0","0","0","Sylvester","WV"
"25201","55","53","0","0","0","0","0","0","2","0","0","0","0","Tad","WV"
"25202","1370","1347","4","3","0","0","0","9","7","375","3","0","0","Tornado","WV"
"25203","89","88","1","0","0","0","0","0","0","0","0","0","0","Turtle Creek","WV"
"25204","211","209","1","0","0","0","0","1","0","0","0","0","0","Twilight","WV"
"25205","391","383","0","0","0","0","1","6","1","313","2","0","313","Uneeda","WV"
"25206","601","591","1","5","0","0","0","4","0","250","1","250","0","Van","WV"
"25208","992","984","0","1","0","0","0","7","0","0","0","0","0","Wharton","WV"
"25209","1227","1206","4","4","1","0","0","12","0","0","0","0","0","Whitesville","WV"
"25211","135","135","0","0","0","0","0","0","0","0","0","0","0","Widen","WV"
"25213","5512","5291","39","14","25","0","10","65","68","23051","68","8030","3073","Winfield","WV"
"25214","614","593","2","0","1","0","0","18","0","0","0","0","0","Winifrede","WV"
"25234","1200","1168","1","5","0","0","0","10","16","0","0","0","0","Arnoldsburg","WV"
"25235","949","935","1","1","0","1","0","8","3","302","3","100","0","Chloe","WV"
"25239","1732","1686","6","0","2","2","0","22","14","1380","18","789","0","Cottageville","WV"
"25241","1710","1694","1","0","8","0","0","3","4","1549","12","150","1399","Evans","WV"
"25243","899","892","1","0","0","0","0","2","4","2900","12","500","200","Gandeeville","WV"
"25244","732","708","2","1","0","0","0","8","13","0","0","0","0","Gay","WV"
"25245","739","727","4","2","1","0","0","5","0","2239","14","244","1870","Given","WV"
"25247","509","492","1","2","2","0","0","11","1","0","0","0","0","Hartford","WV"
"25248","3090","3049","3","7","5","0","2","12","12","758","10","0","672","Kenna","WV"
"25251","429","428","0","0","0","0","0","1","0","0","0","0","0","Left Hand","WV"
"25252","1071","1052","7","2","1","0","0","8","1","200","2","0","200","Le Roy","WV"
"25253","2051","2034","1","0","0","0","6","10","0","302","3","277","25","Letart","WV"
"25259","699","696","0","3","0","0","0","0","0","3620","11","1000","0","Looneyville","WV"
"25260","1577","1526","3","8","15","0","0","19","6","531","6","312","0","Mason","WV"
"25261","335","329","0","0","0","0","0","2","4","0","0","0","0","Millstone","WV"
"25262","898","883","2","2","2","0","0","6","3","353","31","341","62","Millwood","WV"
"25264","441","427","2","3","1","0","0","8","0","0","0","0","0","Mount Alto","WV"
"25265","1564","1528","7","4","0","0","0","14","11","793","5","0","0","New Haven","WV"
"25266","797","786","0","2","0","0","0","5","4","0","0","0","0","Newton","WV"
"25267","758","730","2","0","1","0","0","15","10","0","0","0","0","Normantown","WV"
"25268","871","845","5","5","3","0","0","8","5","1127","12","1127","0","Orma","WV"
"25270","972","945","6","2","3","0","0","12","4","0","0","0","0","Reedy","WV"
"25271","9304","9102","29","11","19","5","2","87","49","6546","73","3490","780","Ripley","WV"
"25275","2287","2263","5","2","1","0","0","3","13","543","14","393","150","Sandyville","WV"
"25276","7752","7543","8","6","28","0","3","91","73","2968","27","649","1652","Spencer","WV"
"25285","595","590","0","0","0","1","0","4","0","0","0","0","0","Wallback","WV"
"25286","1692","1671","0","5","4","1","0","6","5","1198","5","550","0","Walton","WV"
"25287","1272","1207","52","0","2","0","0","8","3","0","0","0","0","West Columbia","WV"
"25301","2771","1782","748","10","84","2","6","96","43","1214699","255","56912","122526","Charleston","WV"
"25302","15078","11954","2304","50","98","7","14","491","160","284200","214","15860","10050","Charleston","WV"
"25303","7112","6271","499","9","60","0","7","182","84","15001","104","6233","3135","Charleston","WV"
"25304","8773","7435","672","16","308","5","14","154","169","109555","212","44136","26090","Charleston","WV"
"25305","0","0","0","0","0","0","0","0","0","0","0","0","0","Charleston","WV"
"25306","6417","5628","606","23","6","1","8","102","43","5683","28","2578","1630","Charleston","WV"
"25309","13356","11763","967","25","167","7","16","315","96","56161","163","11337","16826","Charleston","WV"
"25311","10815","8408","1817","28","119","3","22","267","151","74450","213","39136","23674","Charleston","WV"
"25312","14886","12806","1627","36","24","1","25","306","61","9152","39","291","1165","Charleston","WV"
"25313","13436","12273","570","17","175","2","22","215","162","56671","141","4222","17000","Charleston","WV"
"25314","14542","12928","515","17","572","0","12","329","169","273259","771","70201","143651","Charleston","WV"
"25315","3255","3004","176","7","3","0","2","50","13","1256","8","200","770","Charleston","WV"
