ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,Other Race,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
10306,55909,44900,970,74,2514,5,63,581,6802,127958,558,47116,67272,Staten Island,NY
10307,14096,12379,79,8,346,5,20,128,1131,49915,177,17923,27589,Staten Island,NY
10308,27357,23952,105,17,783,7,35,232,2226,28203,218,7692,13812,Staten Island,NY
10309,32519,27725,667,9,1232,2,59,241,2584,80610,339,20267,52139,Staten Island,NY
10310,24962,10444,5110,58,1362,1,54,459,7474,40634,334,14000,22997,Staten Island,NY
10311,0,0,0,0,0,0,0,0,0,785,2,250,0,Staten Island,NY
10312,59304,50214,495,50,3192,19,57,490,4787,111323,533,39892,51894,Staten Island,NY
10314,85510,58090,3201,111,11412,34,190,1363,11109,140852,817,55542,59490,Staten Island,NY
10451,45713,921,16227,100,653,5,170,489,27148,15432,177,13630,900,Bronx,NY
10452,75371,1001,20945,153,952,15,329,648,51328,15573,222,12439,1090,Bronx,NY
10453,78309,1020,23685,170,917,20,256,620,51621,23997,153,16220,6490,Bronx,NY
10454,37337,692,8629,71,165,3,97,238,27442,7152,81,3924,200,Bronx,NY
10455,39665,555,8855,61,199,12,86,221,29676,26438,111,6407,2600,Bronx,NY
10456,86547,1133,34735,240,782,24,256,736,48641,14871,132,9609,1285,Bronx,NY
10457,70496,1138,21185,141,1059,24,360,649,45940,10338,187,9657,0,Bronx,NY
10458,79492,8350,15770,185,3065,42,568,832,50680,21554,254,17935,2685,Bronx,NY
10459,47308,538,12747,105,343,12,138,350,33075,9827,120,6150,2700,Bronx,NY
10460,57311,1434,15684,159,751,4,271,488,38520,5914,61,4398,705,Bronx,NY
10461,50502,21602,3150,100,5253,11,390,612,19384,55811,447,31217,18005,Bronx,NY
10462,75784,11415,18417,223,8101,33,732,1497,35366,33277,630,23401,6025,Bronx,NY
10463,67970,24161,8116,92,2873,21,250,891,31566,536984,2293,200618,173648,Bronx,NY
10464,4534,3400,141,11,140,1,16,51,774,30289,193,19077,309,Bronx,NY
10465,42230,21559,3123,77,1246,15,203,391,15616,27534,246,14703,10641,Bronx,NY
10466,67813,2001,46347,287,1508,30,928,1185,15527,14405,224,5978,5770,Bronx,NY
10467,97060,9855,32296,287,6098,18,517,1328,46661,40149,384,29025,635,Bronx,NY
10468,76103,3708,14507,154,3357,8,393,716,53260,51621,318,32449,18461,Bronx,NY
10469,66631,8730,36743,208,2681,21,410,986,16852,35461,318,28030,3573,Bronx,NY
10470,15293,6493,5097,59,544,4,229,306,2561,25912,319,11100,8625,Bronx,NY
10471,22922,14465,2004,25,1330,4,86,390,4618,412935,1587,318359,78608,Bronx,NY
10472,66358,1476,15574,246,3931,34,1216,994,42887,18136,146,11348,3080,Bronx,NY
10473,58519,1203,21162,176,890,22,350,674,34042,20105,185,16710,760,Bronx,NY
10474,12281,160,3227,29,67,0,34,80,8684,16917,12,16815,102,Bronx,NY
10475,40931,3885,24005,94,492,8,118,659,11670,21638,140,8972,5444,Bronx,NY
10501,1219,1087,6,1,36,0,0,13,76,7578,14,7150,310,Amawalk,NY
10502,5487,4067,119,0,852,0,21,81,347,39296,239,24617,10432,Ardsley,NY
10503,108,100,1,0,5,0,0,0,2,20895,28,14695,300,Ardsley on Hudson,NY
10504,7987,7109,46,1,388,0,16,87,340,332145,503,222410,85442,Armonk,NY
10505,851,696,17,0,97,0,0,8,33,3991,17,141,3000,Baldwin Place,NY
10506,5790,5160,83,4,182,0,4,52,305,511424,558,134744,244688,Bedford,NY
10507,6408,3965,718,11,227,0,24,82,1381,1014373,338,295087,28091,Bedford Hills,NY
10509,19507,15178,398,25,458,2,22,209,3215,39875,276,25273,5952,Brewster,NY
10510,9988,8269,272,4,711,3,11,131,587,283493,662,145712,100923,Briarcliff Manor,NY
10511,2246,1767,62,0,33,0,4,23,357,6929,116,2152,3777,Buchanan,NY
10512,25590,21154,526,43,455,6,42,270,3094,44994,359,23744,13955,Carmel,NY
10514,11946,10193,145,1,971,1,30,187,418,722952,1278,520655,129524,Chappaqua,NY
10516,5289,4741,38,12,84,3,11,82,318,115454,527,108661,5385,Cold Spring,NY
10517,539,390,8,0,27,0,3,7,104,1000,15,1000,0,Crompond,NY
10518,1268,1112,8,2,67,0,1,32,46,16331,68,14047,1208,Cross River,NY
10519,316,241,18,0,8,0,3,8,38,2815,17,1565,250,Croton Falls,NY
10520,12810,10306,475,9,439,4,47,240,1290,172429,707,141617,5335,Croton on Hudson,NY
10522,10875,7883,702,3,921,7,24,194,1141,89716,598,68430,15072,Dobbs Ferry,NY
10523,7444,2302,1881,8,746,0,23,158,2326,34264,93,22998,6067,Elmsford,NY
10524,4421,3826,110,4,50,2,4,69,356,97439,335,84401,7953,Garrison,NY
10526,1809,1575,45,1,42,0,1,35,110,23234,132,15394,1040,Goldens Bridge,NY
10527,908,835,10,0,16,0,0,10,37,4990,53,3705,285,Granite Springs,NY
10528,12280,9634,112,3,1132,1,27,168,1203,377010,546,208906,113664,Harrison,NY
10530,12604,8614,930,16,1463,4,33,187,1357,85589,479,65141,7604,Hartsdale,NY
10532,4931,4310,69,1,151,1,4,29,366,37256,130,29830,6596,Hawthorne,NY
10533,7322,6030,101,5,603,0,16,109,458,233465,591,152995,48402,Irvington,NY
10535,555,385,27,1,20,0,1,7,114,212,8,212,0,Jefferson Valley,NY
10536,10739,9603,112,5,256,1,16,109,637,516864,802,213115,189068,Katonah,NY
10537,2416,1836,119,2,37,0,0,54,368,4344,137,3585,0,Lake Peekskill,NY
10538,16597,14388,241,5,555,2,62,260,1084,963893,1560,599190,193576,Larchmont,NY
10541,26339,22760,355,15,437,1,43,256,2472,62242,346,32008,17856,Mahopac,NY
