ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,OtherRace,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
48108,26164,16090,4126,93,3379,10,56,1023,1387,108510,898,60221,14028,Ann Arbor,MI
48109,6904,5031,388,13,968,6,12,237,249,16701,48,1577,0,Ann Arbor,MI
48111,42313,29118,9851,191,771,13,60,1110,1199,34117,403,10550,8575,Belleville,MI
48114,19702,18815,114,55,183,7,10,191,327,71159,542,21581,20837,Brighton,MI
48116,26432,25078,126,111,229,3,21,326,538,167359,628,66503,63131,Brighton,MI
48117,10124,9520,180,23,36,2,6,130,227,5896,66,77,3751,Carleton,MI
48118,12552,11819,133,39,114,4,11,191,241,91373,809,64451,10267,Chelsea,MI
48120,8274,6595,932,12,215,1,8,363,148,23871,90,8988,7610,Dearborn,MI
48122,10727,7146,1156,64,84,1,18,300,1958,1507,25,880,0,Melvindale,MI
48124,31732,27858,1175,73,509,8,37,555,1517,125672,530,85463,16157,Dearborn,MI
48125,21273,17592,1414,120,248,2,16,432,1449,6754,118,3563,1305,Dearborn Heights,MI
48126,47465,41068,1516,61,866,20,112,2618,1204,149188,316,58656,19502,Dearborn,MI
48127,36501,30351,3076,76,747,7,59,922,1263,54335,290,31766,10553,Dearborn Heights,MI
48128,10682,9595,272,20,106,2,14,156,517,29447,192,23538,725,Dearborn,MI
48130,14420,13445,128,37,247,13,25,210,315,91677,857,51721,21056,Dexter,MI
48131,6764,6439,45,23,29,0,2,81,145,7720,89,3000,460,Dundee,MI
48133,5753,5278,50,29,23,0,1,91,281,1547,8,250,100,Erie,MI
48134,21408,18382,1031,81,449,5,8,462,990,8615,160,2871,3073,Flat Rock,MI
48135,27665,24960,918,113,232,4,30,505,903,18056,253,5594,8825,Garden City,MI
48137,4796,4614,20,23,9,0,4,59,67,2980,20,1565,205,Gregory,MI
48138,10371,9686,39,34,246,0,2,92,272,87610,333,16995,54103,Grosse Ile,MI
48139,206,197,0,0,0,0,0,1,8,40,1,0,0,Hamburg,MI
48140,3095,3014,8,1,1,0,0,21,50,2955,34,1120,1485,Ida,MI
48141,25366,4959,18410,70,409,4,46,815,653,2684,44,415,1053,Inkster,MI
48143,32,31,0,0,1,0,0,0,0,5,1,0,0,Lakeland,MI
48144,9952,9506,40,17,87,4,2,82,214,11595,110,2366,2286,Lambertville,MI
48145,3503,3329,28,9,11,1,5,48,72,4767,29,1715,2700,La Salle,MI
48146,38098,29071,2169,205,183,8,28,770,5664,8362,131,4903,2746,Lincoln Park,MI
48150,27127,24667,783,56,461,7,23,405,725,32013,335,12701,9901,Livonia,MI
48152,31173,27322,1391,66,1199,2,32,375,786,86661,525,22843,37034,Livonia,MI
48154,38642,35343,1090,82,781,2,31,425,888,65880,563,31450,20647,Livonia,MI
48157,1436,1321,10,12,7,0,1,42,43,945,32,689,250,Luna Pier,MI
48158,7309,7038,21,15,27,2,5,72,129,33758,162,17018,4740,Manchester,MI
48159,2582,2414,91,18,5,3,2,33,16,1389,17,220,50,Maybee,MI
48160,13785,11414,1142,87,111,3,26,307,695,19111,253,6940,8386,Milan,MI
48161,26470,23314,1214,49,163,6,10,568,1146,41057,208,8781,27635,Monroe,MI
48162,29344,26579,820,88,202,4,14,548,1089,69636,251,6018,30775,Monroe,MI
48164,9175,8363,317,47,71,0,7,159,211,5818,103,1445,2288,New Boston,MI
48165,6339,5815,100,19,64,2,0,114,225,20635,108,2626,14050,New Hudson,MI
48166,11569,10854,125,41,44,1,4,172,328,21684,95,1132,18567,Newport,MI
48167,21534,18592,940,30,1043,1,24,347,557,124395,844,45479,32387,Northville,MI
48168,21781,17561,650,23,2702,9,28,341,467,257473,1018,66384,61976,Northville,MI
48169,20813,20071,65,43,112,2,8,230,282,41764,386,13115,19380,Pinckney,MI
48170,39963,36311,829,91,1275,6,34,516,901,332562,1269,62562,84426,Plymouth,MI
48173,12700,11343,491,64,183,5,2,154,458,8812,79,1840,530,Rockwood,MI
48174,31515,18061,10686,156,473,12,40,1014,1073,28716,68,2307,5165,Romulus,MI
48176,21447,19428,385,47,618,6,32,346,585,156824,711,72221,59059,Saline,MI
48177,218,211,0,0,4,0,0,2,1,0,0,0,0,Samaria,MI
48178,29320,27591,229,81,418,3,25,317,656,73139,527,15975,26197,South Lyon,MI
48179,3274,3066,42,4,9,0,0,31,122,577,3,577,0,South Rockwood,MI
48180,63131,47177,9896,285,1111,16,84,1353,3209,28079,241,12280,11506,Taylor,MI
48182,21708,20633,107,45,164,3,20,196,540,27481,204,4707,19885,Temperance,MI
48183,43182,37693,1770,163,938,2,25,638,1953,28374,480,11883,3416,Trenton,MI
48184,17643,13129,2964,75,360,6,51,456,602,7163,105,5018,716,Wayne,MI
48185,47618,34429,8552,181,1833,11,70,863,1679,39780,216,9530,10137,Westland,MI
48186,36506,27414,5808,172,693,2,64,867,1486,15326,282,9107,5481,Westland,MI
48187,49148,35898,4561,106,5992,14,88,1042,1447,115138,823,32170,39357,Canton,MI
48188,41025,27267,4509,100,6728,7,48,991,1375,71963,472,23411,10445,Canton,MI
48189,13632,12835,150,53,107,4,23,195,265,11769,187,5563,3480,Whitmore Lake,MI
48190,107,101,3,0,0,0,0,1,2,130,9,130,0,Whittaker,MI
48191,4054,3487,317,10,27,1,22,97,93,13462,126,5016,985,Willis,MI
48192,25883,23562,327,146,129,6,15,386,1312,15512,231,9265,891,Wyandotte,MI
48193,15623,13202,940,56,601,5,12,173,634,4617,107,1807,1257,Riverview,MI
48195,30047,25389,1635,116,488,5,21,437,1956,30988,194,5750,5435,Southgate,MI
48197,61132,36043,15900,213,3024,32,182,2411,3327,54124,1028,37012,8817,Ypsilanti,MI
48198,38186,20554,13418,151,889,4,104,1467,1599,117757,681,32504,74849,Ypsilanti,MI
48201,12814,2437,8916,69,775,3,25,343,246,94072,205,16228,51652,Detroit,MI
48202,16603,1869,13465,48,482,0,12,438,289,58161,287,46502,1080,Detroit,MI
48203,28409,1470,25847,77,103,7,29,506,370,94769,237,64101,4934,Highland Park,MI
48204,27997,296,26890,67,12,2,29,403,298,14490,73,14078,157,Detroit,MI
48205,44045,1953,40231,89,745,1,61,655,310,40003,159,36268,3501,Detroit,MI
48206,21954,466,20800,56,19,0,35,336,242,12081,66,11629,0,Detroit,MI
48207,20252,1440,17979,59,139,0,38,388,209,87521,419,46339,31700,Detroit,MI
48208,10234,1044,8535,46,40,3,13,173,380,6172,93,2656,2000,Detroit,MI
48209,32262,6375,2738,119,86,4,25,462,22453,37960,108,4590,17894,Detroit,MI
48210,31017,6499,8419,79,134,18,91,688,15089,11125,62,11003,117,Detroit,MI
48211,7082,1960,4546,19,160,0,8,274,115,3843,26,3843,0,Detroit,MI
48212,39038,14321,14140,118,8369,7,93,1425,565,18992,83,18837,100,Hamtramck,MI
48213,27712,516,26549,71,28,0,27,361,160,146615,117,25934,13480,Detroit,MI
48214,22759,1296,20731,79,64,1,35,387,166,306679,205,50289,1009,Detroit,MI
48215,13565,696,12394,48,44,0,14,252,117,25181,115,23304,1350,Detroit,MI
48216,5645,1177,2320,34,12,2,1,133,1966,19063,81,8987,0,Detroit,MI
48217,8210,467,6569,23,7,1,7,117,1019,1660,15,1300,0,Detroit,MI
48218,7903,2751,3933,38,17,2,8,270,884,165,3,0,0,River Rouge,MI
48219,46931,3078,42326,108,148,4,69,777,421,33527,210,31640,225,Detroit,MI
48220,22319,16507,4155,92,262,13,29,676,585,59055,847,42782,5260,Ferndale,MI
48221,38727,1365,36022,82,206,5,71,630,346,73488,341,64317,2750,Detroit,MI
48223,25336,1945,22401,73,49,3,31,542,292,12807,115,10963,230,Detroit,MI
48224,44439,3358,39613,96,103,2,74,784,409,28478,214,25019,2213,Detroit,MI
48225,14554,6981,6673,33,204,3,23,348,289,27655,161,17815,3200,Harper Woods,MI
48226,5302,1446,3290,27,216,0,4,137,182,605245,760,117690,215321,Detroit,MI
48227,45380,676,43511,113,38,4,37,633,368,16595,142,15538,0,Detroit,MI
48228,52130,8075,40610,128,103,10,95,1040,2069,35067,193,30504,3246,Detroit,MI
48229,9556,3505,4378,58,27,1,18,279,1290,1369,12,718,0,Ecorse,MI
48230,16976,14569,1386,24,289,7,33,279,389,373538,924,141900,113389,Grosse Pointe,MI
48233,0,0,0,0,0,0,0,0,0,310,1,310,0,Detroit,MI
48234,36140,1237,33822,95,63,4,56,519,344,71964,260,70965,0,Detroit,MI
48235,45063,468,43414,99,53,3,44,651,331,29886,232,25812,1000,Detroit,MI
48236,30607,26585,2434,39,635,1,21,349,543,677927,1263,105047,378767,Grosse Pointe,MI
48237,29319,10806,16748,54,417,3,48,820,423,104472,395,79856,17790,Oak Park,MI
48238,31743,249,30637,71,24,2,39,515,206,35381,88,34301,1000,Detroit,MI
48239,35524,19696,13521,125,286,1,48,788,1059,24305,304,16822,3271,Redford,MI
48240,17722,12764,3758,93,163,4,16,399,525,17176,129,10600,5662,Redford,MI
48242,0,0,0,0,0,0,0,0,0,500,1,500,0,Detroit,MI
48243,0,0,0,0,0,0,0,0,0,91635,196,1340,0,Detroit,MI
48301,14127,12443,569,12,606,1,30,255,211,373244,815,122231,178085,Bloomfield Hills,MI
48302,15360,12131,1034,17,1560,2,38,288,290,834463,1242,195183,269216,Bloomfield Hills,MI
48304,16009,13058,1146,13,1226,3,9,230,324,1568971,1457,236649,645819,Bloomfield Hills,MI
48306,26691,22990,756,39,1926,3,22,384,571,288170,916,65016,70836,Rochester,MI
48307,41369,32594,2031,73,4480,2,42,704,1443,121756,924,50938,28368,Rochester,MI
48309,29135,23753,1516,46,2515,2,30,464,809,115894,594,37287,44436,Rochester,MI
48310,42766,34862,1979,58,3963,3,64,1167,670,82747,381,66487,10331,Sterling Heights,MI
48312,32720,26688,2550,75,2198,7,48,550,604,91001,587,76791,9571,Sterling Heights,MI
48313,33952,30349,1316,71,988,5,34,496,693,38650,370,24383,10532,Sterling Heights,MI
48314,20245,16837,793,42,1562,1,12,442,556,62990,302,24313,24211,Sterling Heights,MI
48315,26563,24105,698,67,883,5,2,357,446,72001,411,29830,31088,Utica,MI
48316,25404,23524,395,53,570,7,15,367,473,62828,397,27562,20627,Utica,MI
48317,26610,22561,1286,74,1119,2,36,491,1041,38024,248,21527,10386,Utica,MI
48320,4589,3852,200,13,74,0,13,90,347,12218,90,2418,3345,Keego Harbor,MI
48322,31265,21890,5022,30,3166,4,86,646,421,358208,954,150399,165876,West Bloomfield,MI
48323,17708,14419,1341,12,1318,2,13,329,274,442244,834,100224,188196,West Bloomfield,MI
48324,17350,14624,1090,18,941,1,29,296,351,419706,528,84597,304405,West Bloomfield,MI
48326,20298,12638,3514,52,1870,7,21,560,1636,52498,302,16690,18195,Auburn Hills,MI
48327,21559,18592,915,63,429,2,11,401,1146,27963,207,13239,6470,Waterford,MI
48328,24960,19905,1816,105,376,7,23,559,2169,32956,219,17916,8245,Waterford,MI
48329,25009,22450,511,85,331,1,18,382,1231,41170,365,10107,15324,Waterford,MI
48331,21503,15798,2599,18,2318,2,25,371,372,520372,648,52907,32742,Farmington,MI
48334,18540,12420,3781,17,1498,5,39,455,325,626684,609,80106,179352,Farmington,MI
48335,22398,12984,4240,73,4239,4,45,400,413,49395,415,23358,11406,Farmington,MI
48336,25486,18861,4095,62,1252,8,41,568,599,89041,527,29820,23434,Farmington,MI
48340,24307,8451,8414,100,705,1,18,778,5840,17248,84,9246,7518,Pontiac,MI
